date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:59:01	63904/63904	---M--	200	added ('OK')	application/font-woff	etag:%225aba875a-f9a0%22	http://solonick.kwst.net/site/fonts/fa-brands-400.woff	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-brands-400.woff	(from http://solonick.kwst.net/site/css/plugins.css)
14:59:04	98940/98940	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225aba875a-1827c%22	http://solonick.kwst.net/site/fonts/fa-brands-400.eot?	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-brands-400d41d.eot	(from http://solonick.kwst.net/site/css/plugins.css)
14:59:16	509405/509405	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225aba875a-7c5dd%22	http://solonick.kwst.net/site/fonts/fa-brands-400.svg	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-brands-400.svg	(from http://solonick.kwst.net/site/css/plugins.css)
14:59:25	98704/98704	---M--	200	added ('OK')	application/octet-stream	etag:%225aba875a-18190%22	http://solonick.kwst.net/site/fonts/fa-brands-400.ttf	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-brands-400.ttf	(from http://solonick.kwst.net/site/css/plugins.css)
14:59:28	73468/73468	---M--	200	added ('OK')	application/octet-stream	etag:%225aba875a-11efc%22	http://solonick.kwst.net/site/fonts/fa-light-300.woff2	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-light-300.woff2	(from http://solonick.kwst.net/site/css/plugins.css)
14:59:43	210360/210360	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225aba875a-335b8%22	http://solonick.kwst.net/site/fonts/fa-light-300.eot	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-light-300.eot	(from http://solonick.kwst.net/site/css/plugins.css)
14:59:44	95280/95280	---M--	200	added ('OK')	application/font-woff	etag:%225aba875a-17430%22	http://solonick.kwst.net/site/fonts/fa-light-300.woff	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-light-300.woff	(from http://solonick.kwst.net/site/css/plugins.css)
14:59:54	776952/776952	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225aba875a-bdaf8%22	http://solonick.kwst.net/site/fonts/fa-light-300.svg	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-light-300.svg	(from http://solonick.kwst.net/site/css/plugins.css)
15:00:08	210360/210360	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225aba875a-335b8%22	http://solonick.kwst.net/site/fonts/fa-light-300.eot?	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-light-300d41d.eot	(from http://solonick.kwst.net/site/css/plugins.css)
15:00:20	69736/69736	---M--	200	added ('OK')	application/octet-stream	etag:%225aba875a-11068%22	http://solonick.kwst.net/site/fonts/fa-regular-400.woff2	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-regular-400.woff2	(from http://solonick.kwst.net/site/css/plugins.css)
15:00:25	210144/210144	---M--	200	added ('OK')	application/octet-stream	etag:%225aba875a-334e0%22	http://solonick.kwst.net/site/fonts/fa-light-300.ttf	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-light-300.ttf	(from http://solonick.kwst.net/site/css/plugins.css)
15:00:26	195192/195192	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225aba875a-2fa78%22	http://solonick.kwst.net/site/fonts/fa-regular-400.eot	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-regular-400.eot	(from http://solonick.kwst.net/site/css/plugins.css)
15:00:40	90312/90312	---M--	200	added ('OK')	application/font-woff	etag:%225aba875a-160c8%22	http://solonick.kwst.net/site/fonts/fa-regular-400.woff	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-regular-400.woff	(from http://solonick.kwst.net/site/css/plugins.css)
15:00:57	195192/195192	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225aba875a-2fa78%22	http://solonick.kwst.net/site/fonts/fa-regular-400.eot?	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-regular-400d41d.eot	(from http://solonick.kwst.net/site/css/plugins.css)
15:00:57	715635/715635	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225aba875a-aeb73%22	http://solonick.kwst.net/site/fonts/fa-regular-400.svg	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-regular-400.svg	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:03	194968/194968	---M--	200	added ('OK')	application/octet-stream	etag:%225aba875a-2f998%22	http://solonick.kwst.net/site/fonts/fa-regular-400.ttf	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-regular-400.ttf	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:07	58144/58144	---M--	200	added ('OK')	application/octet-stream	etag:%225aba875a-e320%22	http://solonick.kwst.net/site/fonts/fa-solid-900.woff2	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-solid-900.woff2	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:16	75380/75380	---M--	200	added ('OK')	application/font-woff	etag:%225aba875a-12674%22	http://solonick.kwst.net/site/fonts/fa-solid-900.woff	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-solid-900.woff	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:25	168344/168344	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225aba875a-29198%22	http://solonick.kwst.net/site/fonts/fa-solid-900.eot	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-solid-900.eot	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:39	607051/607051	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225aba875a-9434b%22	http://solonick.kwst.net/site/fonts/fa-solid-900.svg	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-solid-900.svg	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:40	168344/168344	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225aba875a-29198%22	http://solonick.kwst.net/site/fonts/fa-solid-900.eot?	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-solid-900d41d.eot	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:41	2760/2760	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225695b55c-ac8%22	http://solonick.kwst.net/site/fonts/lg.eot?n1z373	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/lgd641.eot	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:41	2760/2760	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%225695b55c-ac8%22	http://solonick.kwst.net/site/fonts/lg.eot?	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/lgd41d.eot	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:41	2692/2692	---M--	200	added ('OK')	application/font-woff	etag:%225695b55c-a84%22	http://solonick.kwst.net/site/fonts/lg.woff?n1z373	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/lgd641.woff	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:42	2616/2616	---M--	200	added ('OK')	application/octet-stream	etag:%225695b55c-a38%22	http://solonick.kwst.net/site/fonts/lg.ttf?n1z373	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/lgd641.ttf	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:42	4094/4094	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%225695b55c-ffe%22	http://solonick.kwst.net/site/fonts/lg.svg?n1z373	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/lgd641.svg	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:42	3784/3784	---MC-	424	error ('Failed%20Dependency')	text/html	date:Tue,%2029%20Jan%202019%2015:01:12%20GMT	http://solonick.kwst.net/site/img/vimeo-play.png	C:/xampp/htdocs/sangram/solonick.kwst.net/site/img/vimeo-play.png	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:43	3784/3784	---MC-	424	error ('Failed%20Dependency')	text/html	date:Tue,%2029%20Jan%202019%2015:01:13%20GMT	http://solonick.kwst.net/site/img/video-play.png	C:/xampp/htdocs/sangram/solonick.kwst.net/site/img/video-play.png	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:43	3784/3784	---MC-	424	error ('Failed%20Dependency')	text/html	date:Tue,%2029%20Jan%202019%2015:01:14%20GMT	http://solonick.kwst.net/site/img/youtube-play.png	C:/xampp/htdocs/sangram/solonick.kwst.net/site/img/youtube-play.png	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:44	3784/3784	---MC-	424	error ('Failed%20Dependency')	text/html	date:Tue,%2029%20Jan%202019%2015:01:14%20GMT	http://solonick.kwst.net/site/images/loading.gif	C:/xampp/htdocs/sangram/solonick.kwst.net/site/images/loading.gif	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:45	935/935	---M--	200	added ('OK')	image/png	etag:%225a981dc0-3a7%22	http://solonick.kwst.net/site/images/pattern.png	C:/xampp/htdocs/sangram/solonick.kwst.net/site/images/pattern.png	(from http://solonick.kwst.net/site/css/style.css)
15:01:45	168128/168128	---M--	200	added ('OK')	application/octet-stream	etag:%225aba875a-290c0%22	http://solonick.kwst.net/site/fonts/fa-solid-900.ttf	C:/xampp/htdocs/sangram/solonick.kwst.net/site/fonts/fa-solid-900.ttf	(from http://solonick.kwst.net/site/css/plugins.css)
15:01:45	1896/1896	---M--	200	added ('OK')	image/png	etag:%225a97eefa-768%22	http://solonick.kwst.net/site/images/clouds.png	C:/xampp/htdocs/sangram/solonick.kwst.net/site/images/clouds.png	(from http://solonick.kwst.net/site/css/style.css)
